cell,dataset,selector,expected_candidate_count,planned_k,preparation_group,score_group,selection_group,configuration
aagu015-s-citeseer-seed2024-r0.01/tracin_cp_point_3,CiteSeer,tracin_cp_point_3,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,19bb61a71cea2ebd04d40774feb203cf22aaf05e0f433dabef1252922ecc41d5,1c564e63fb978e159f770136badfe0e13154f016c396db669115e43bd526f74e,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/tracin_cp_point_6,CiteSeer,tracin_cp_point_6,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,fee48b9bae1b93d69ed4e7903cf7f4f5bf4bc42be3bf172fa71eaccebb0e4656,c9ffb4a9a2c2d099c85bd55581cbf11b6322a0140fcd810aba4b0b1f1dffe93c,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/tracin_cp_simple_3,CiteSeer,tracin_cp_simple_3,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,e7319248d84d42f2de97abecf1fb60c3cf5e3a31d6bd5d698762653bb0e71b4c,3d2322bc2b9cf72c5accdc59aac6ffccc591fe587814cf8d47d632cc529a34c3,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/tracin_cp_simple_6,CiteSeer,tracin_cp_simple_6,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,b494367405ffa13208151c22211103623b43d1c8284b5b8410d7857100dbb81b,60aa8dc6fee473c29fdd196388806ed32296cf9b9bb2962562914189efee3177,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/tracin_cp_graph_3,CiteSeer,tracin_cp_graph_3,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,2cb87e50a89190ab94420df3e99d9540e7e17451b0832d574ceeb9e09eac8887,14e0faed8aef7b4769323a8e80928d49accec12e5b66376ba842caf0649ee34e,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/tracin_cp_graph_6,CiteSeer,tracin_cp_graph_6,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,d8d274233304e52c6173f71fe7ce9664719d775ea525df0783613b6c86a31a3c,e24d9f439abcb4eae2d95364fcedb11b9503debdda3cf999e694a05e2d517b08,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.01/legacy,CiteSeer,legacy,2328,23,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,1fc7f905fc69f992c6cfcadd225baa9e68ce20281db553f831986778dd67fd06,4fd50339685dc85cbf2c45e1d3dcd72d7465c0ea50e17859a4cc1281c9b7f2e6,generated/stage_s/citeseer-seed2024-r0.01.yaml
aagu015-s-citeseer-seed2024-r0.05/degree,CiteSeer,degree,2328,116,,9286a88496aa5177c5af9baeecc532798f523cda891b36b0ae8f545748394047,0cc516905a0425d943cde830993e94a70abc65b81c55a35435eb82fd8d31037d,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/random,CiteSeer,random,2328,116,,8e9498dd584670a939cc00b2e34a0b4f23079a7826fbbf01fd33a2e8c399b979,002843dcd22b01230d3115f2223446f61f36a89dd589b9bfc2610662fcb99456,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/a_grad_norm,CiteSeer,a_grad_norm,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,4165f781d9984800400c963db7a836f96de7fbd72f4e7d661f011f16882a0bfd,52b36d0b61b2b3c3df0a48742b793935ba550d859e276586dd2d6294590a5e89,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/b_param_hutch,CiteSeer,b_param_hutch,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,d75d967a8ba6fc498d8ba2f73f925a38ef1a16075a3f2ed841b54e562b6f81e7,aa158e12daa0523a20f0938014c0a1ff8ba25d47b8ac0389a78e06b9e768b828,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/r_point,CiteSeer,r_point,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,908f1f2b3ef0f29ac4cc777cdf5734f7c1e8aaf5ed6b3a67d044ecaa895c77db,38d821afeb0c64d09a78525a54f7278d2bf6ae9a87b2fc0795a8bd251e435797,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/gt_simple,CiteSeer,gt_simple,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,f72bb5d81ab22a1cbe179e6517d59b604035966b599cd655f1ba469dbb576e8b,c6fbee8e104e1c5bcc758ef421d0e72a5c687b41bfe8a9a40d350003fe3ca3c8,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/gt_full,CiteSeer,gt_full,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,b718ab63533644be8edc02f4c720b46f3d7a7ce2a31f142b8395465641b27754,9ddbb64d7c128529c28cb23e8eba367beb003a0ce0a13ecf1002175e88403d7f,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/p_point,CiteSeer,p_point,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,3756dc5b71e960505cdc1a504fde1350081658a39da8cbd79960fe558395dce6,c54b3b6c70c776730e394b47697fcd1c2d8c50ca48205e32fbbb6ddfc8f93d3b,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/p_simple,CiteSeer,p_simple,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,1fee43895321ef9fdf1a7369985482373cbace41bc837d89abb289eb3c1b8735,8945d24ea966284795c127a5df29d3748c7d5fdb31a94851d046395112f64e64,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/p_graph,CiteSeer,p_graph,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,4f262f1903ac09ca23ac912ef87dd1ef54ef1074b7efd840cf471e43cc5b8c64,7de92b711c9871b1e58310d27a8952ef7bcc8744433fba7b0971f569ac63f8b1,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/tracin_cp_point_3,CiteSeer,tracin_cp_point_3,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,19bb61a71cea2ebd04d40774feb203cf22aaf05e0f433dabef1252922ecc41d5,b4ee2a34abdab9b6dbe35ba6a10f30d98bd32b9919cf1abd37a0273c7f941405,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/tracin_cp_point_6,CiteSeer,tracin_cp_point_6,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,fee48b9bae1b93d69ed4e7903cf7f4f5bf4bc42be3bf172fa71eaccebb0e4656,d1367ade5b95ed46c308f1a54f5e036a383ef2c052106785daae3fd2ef124d8a,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/tracin_cp_simple_3,CiteSeer,tracin_cp_simple_3,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,e7319248d84d42f2de97abecf1fb60c3cf5e3a31d6bd5d698762653bb0e71b4c,bec10ac5f791b116e28bfcc51e5086e9b9ca97f6c45a58b5bc4567f4d9d2defc,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/tracin_cp_simple_6,CiteSeer,tracin_cp_simple_6,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,b494367405ffa13208151c22211103623b43d1c8284b5b8410d7857100dbb81b,fe44a6550aa2eb4eb29c641f16f925552f9f34aa7d14dae6ed4e733485921377,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/tracin_cp_graph_3,CiteSeer,tracin_cp_graph_3,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,2cb87e50a89190ab94420df3e99d9540e7e17451b0832d574ceeb9e09eac8887,4b1b4181a5fe280638f4af5119870c4a42f79430fe19d84e8eed1d36c950f17f,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/tracin_cp_graph_6,CiteSeer,tracin_cp_graph_6,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,d8d274233304e52c6173f71fe7ce9664719d775ea525df0783613b6c86a31a3c,12d7c33670fd5b5e525c56256ca43f179f46fa437b7695a4c6363fe6fde34236,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed2024-r0.05/legacy,CiteSeer,legacy,2328,116,ef324c366f1c1a30eaecc192675f8b891464e1e340594027eb301f376e94dde5,1fc7f905fc69f992c6cfcadd225baa9e68ce20281db553f831986778dd67fd06,12b907fa406fc57660f151785f333bc46f98b9ca51e05abb796869a311692540,generated/stage_s/citeseer-seed2024-r0.05.yaml
aagu015-s-citeseer-seed212-r0.01/degree,CiteSeer,degree,2328,23,,9286a88496aa5177c5af9baeecc532798f523cda891b36b0ae8f545748394047,d3aea0e3741e706d4d6e4a618509cf52951ab3fa0ede0707af8c75fc6ea64cd4,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/random,CiteSeer,random,2328,23,,8e9498dd584670a939cc00b2e34a0b4f23079a7826fbbf01fd33a2e8c399b979,b8310f12a6f7b58e4a88de40f6ba1fc2527f6f0116448fa8e0115f1550c11f66,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/a_grad_norm,CiteSeer,a_grad_norm,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,771c5723b45828d9b1d2a12bcadf545deb41c844351674a8494a8a4f5f3f33f5,dad117cfa6d79c63087b2fb798b0a1b5316f9bccd7fbc3661a6c2ddb53b458cf,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/b_param_hutch,CiteSeer,b_param_hutch,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,20a2608080d72140a57ae50efcfa140fc84b5ccc23ce1095b9a5f39d8e0c02a2,879ee18f9f1f3e020d1fc6deee1f73bc2ba4bf7272efa19c11b85b56067fa179,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/r_point,CiteSeer,r_point,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,1da462326d4387128bcbd3f8221b1c7c96c53aec8267fd3b9e2356f1b0e81c6d,05547e28ad4bae617f218adfe66b07428dc57776e50c9b2d17b89b10d474c62e,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/gt_simple,CiteSeer,gt_simple,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,ee4d1101768a16c90c24b4de7642c886f759b21333d88c52ae0d6abba7ef196d,dc040ef674f38112b26f6c9907ecd4c07968f89da882cee026240fa6decb946b,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/gt_full,CiteSeer,gt_full,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,8815a81c551769f254d5f95693b9a26f90e837b83b01f72f10184cb8e9e91509,478ceeb421186316cd12155e90fb61e9fdfad3530cf74031954978aea15ea559,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/p_point,CiteSeer,p_point,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,ecadb8ce8b0c8f8e0abbc783990fcc5d052f29f708089509b7b4146e27e8984a,ea23e98327c613ef8dc0255b1152a48cf33f3fb74efecfba59fac9ab38d03cfd,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/p_simple,CiteSeer,p_simple,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,7b5212677f1a957a3bf431c079f59df6d0eb9cf6b424eb1dd9b2a5856f9b796f,a30876233b096b46308d402f345bec43c3d48ac8d4a70f81d5d25b296f5815b6,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/p_graph,CiteSeer,p_graph,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,0dd6e04cd2b16c274d42a1182a8076df9892476814deb145bf7f981232f09fd0,0be426e221bc013a6aeb005c4d9b154cd33f8009eeb4a1be82331167a7eb5dda,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/tracin_cp_point_3,CiteSeer,tracin_cp_point_3,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,fa6fdf2080a2d947a0e4077fce13c68477fe9ec7660cb789f850805f2cc1d6ca,d76d0f9985fe5cbb795d9199c3158a28fca11309b34f3c672d64123c2d2dbe6c,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/tracin_cp_point_6,CiteSeer,tracin_cp_point_6,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,b4a9c44609bc3b79063fd9a894fe3732c15a005e816999ff46c47dd92fa8080e,7be5e5623385d7cc9c4dc4df2d7d85313717918715d32f5c8428f0bb5f3a53d2,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/tracin_cp_simple_3,CiteSeer,tracin_cp_simple_3,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,354c1ad840a26c6ed7df4874040925ce97ec6da6c0dc1f662d1171d031cb10d4,ae9cf7e4410e3c7d8ecd465bc7427f05de3e9a9d020ce3cfc503f9a3eb1f680f,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/tracin_cp_simple_6,CiteSeer,tracin_cp_simple_6,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,8d801b3f2a871f6053e942b96cb873e92fbbcdf124f649b7af8904a97af61fd0,ec3648dbcf84170f611543b55e9197ddb20cebbce0023ced948441eb6ae78841,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/tracin_cp_graph_3,CiteSeer,tracin_cp_graph_3,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,786eea05f6060e6a21ed454aca689bdd062be1454998b93c81a69b6f638d6add,3c469959b9a7e905b62b660cc28d3e7a2df4759967733d356ec91dc6f392c613,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/tracin_cp_graph_6,CiteSeer,tracin_cp_graph_6,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,5dfa41c8ab3304234fa9b0329d4e81f1bfbd32ca98ea0821cd5af324f2126e6c,2bc8daad6f7f693d9f34db7e68571116787df29244d1948fcccd4404b97c5a82,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.01/legacy,CiteSeer,legacy,2328,23,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,16218cec55f38b6ca5e4467cbeccc2890002419e5bec355a949f8eba099c98e8,84442b98e76befe6b854a9ea302018b55708c73ee5763e33feaddbf5cf681e94,generated/stage_s/citeseer-seed212-r0.01.yaml
aagu015-s-citeseer-seed212-r0.05/degree,CiteSeer,degree,2328,116,,9286a88496aa5177c5af9baeecc532798f523cda891b36b0ae8f545748394047,0cc516905a0425d943cde830993e94a70abc65b81c55a35435eb82fd8d31037d,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/random,CiteSeer,random,2328,116,,8e9498dd584670a939cc00b2e34a0b4f23079a7826fbbf01fd33a2e8c399b979,002843dcd22b01230d3115f2223446f61f36a89dd589b9bfc2610662fcb99456,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/a_grad_norm,CiteSeer,a_grad_norm,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,771c5723b45828d9b1d2a12bcadf545deb41c844351674a8494a8a4f5f3f33f5,3ef88961b45562848d4b1c9de2a339420d61f2e3c14cd71c9fe87a53e385c36f,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/b_param_hutch,CiteSeer,b_param_hutch,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,20a2608080d72140a57ae50efcfa140fc84b5ccc23ce1095b9a5f39d8e0c02a2,19bb7dc528cbc7932ed2c199e89b9f49917c6c8fd2555090f2810fbc81619b8e,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/r_point,CiteSeer,r_point,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,1da462326d4387128bcbd3f8221b1c7c96c53aec8267fd3b9e2356f1b0e81c6d,4e7ca8fe9fb5567cac5a01c7db910ce3b59e7f3e16f08471b1d6c3a3c8afb721,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/gt_simple,CiteSeer,gt_simple,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,ee4d1101768a16c90c24b4de7642c886f759b21333d88c52ae0d6abba7ef196d,5a02af62bf8d8492f0fc9fd623f5ef13ca4ebe50a1f76916067637899060158c,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/gt_full,CiteSeer,gt_full,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,8815a81c551769f254d5f95693b9a26f90e837b83b01f72f10184cb8e9e91509,0f27fb386f495068ccd739b2e1bcef5e2af6c22748526c5e90cfc8dde3cd53d8,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/p_point,CiteSeer,p_point,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,ecadb8ce8b0c8f8e0abbc783990fcc5d052f29f708089509b7b4146e27e8984a,af52406ecdd40e3df311cc2760b1ea51458d286cf2157a125e42456870681c46,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/p_simple,CiteSeer,p_simple,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,7b5212677f1a957a3bf431c079f59df6d0eb9cf6b424eb1dd9b2a5856f9b796f,c7c8cd0e357d07bd4e15b5f5bd891a3faf46e8ec9e65ef8780ae6ed692811c3b,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/p_graph,CiteSeer,p_graph,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,0dd6e04cd2b16c274d42a1182a8076df9892476814deb145bf7f981232f09fd0,27c049e4d9cb9a5b32169b7fac302b48057360efb33d06cae68de2ea9dde28b2,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/tracin_cp_point_3,CiteSeer,tracin_cp_point_3,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,fa6fdf2080a2d947a0e4077fce13c68477fe9ec7660cb789f850805f2cc1d6ca,eb13f6ab3c815d688e1980ba29808fd1331d2c08a9bc6381d1f8001569cc7661,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/tracin_cp_point_6,CiteSeer,tracin_cp_point_6,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,b4a9c44609bc3b79063fd9a894fe3732c15a005e816999ff46c47dd92fa8080e,8c19044d5325dabe5a1bcae607171299a17d6752aab821f68e889f593c260c69,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/tracin_cp_simple_3,CiteSeer,tracin_cp_simple_3,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,354c1ad840a26c6ed7df4874040925ce97ec6da6c0dc1f662d1171d031cb10d4,391e1038ec01817e27ff67fd75cf73c34e2966f0cc943cde38bc9f8f385d708a,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/tracin_cp_simple_6,CiteSeer,tracin_cp_simple_6,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,8d801b3f2a871f6053e942b96cb873e92fbbcdf124f649b7af8904a97af61fd0,2f730d2f722ea6b05aecb91c100c78ee4d9c124b0bdc4e55416e5ac4d39bac5b,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/tracin_cp_graph_3,CiteSeer,tracin_cp_graph_3,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,786eea05f6060e6a21ed454aca689bdd062be1454998b93c81a69b6f638d6add,fea665028b0cdd503e5fc17d736736149bc8c2952087d50d36f0dc0c8ae6fbd4,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/tracin_cp_graph_6,CiteSeer,tracin_cp_graph_6,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,5dfa41c8ab3304234fa9b0329d4e81f1bfbd32ca98ea0821cd5af324f2126e6c,865211680db57c8e3adc2e11013ae2c9653698ed72c981d7ec4036921e96ac8d,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed212-r0.05/legacy,CiteSeer,legacy,2328,116,693cf55f2fe4620ec755ed3f91b278283c06f287d242bc6cc9ab824f21b062ac,16218cec55f38b6ca5e4467cbeccc2890002419e5bec355a949f8eba099c98e8,58b51810d947662ff57e923b00a98c559b7d140911477faca345223aacdf5b7a,generated/stage_s/citeseer-seed212-r0.05.yaml
aagu015-s-citeseer-seed42-r0.01/degree,CiteSeer,degree,2328,23,,9286a88496aa5177c5af9baeecc532798f523cda891b36b0ae8f545748394047,d3aea0e3741e706d4d6e4a618509cf52951ab3fa0ede0707af8c75fc6ea64cd4,generated/stage_s/citeseer-seed42-r0.01.yaml
aagu015-s-citeseer-seed42-r0.01/random,CiteSeer,random,2328,23,,8e9498dd584670a939cc00b2e34a0b4f23079a7826fbbf01fd33a2e8c399b979,b8310f12a6f7b58e4a88de40f6ba1fc2527f6f0116448fa8e0115f1550c11f66,generated/stage_s/citeseer-seed42-r0.01.yaml
aagu015-s-citeseer-seed42-r0.01/a_grad_norm,CiteSeer,a_grad_norm,2328,23,2e01ea55a5d83ee56b1b6c3ba0cd7a13d15273393da54079c837b11e19a03b3b,6c135ee104e9deac5c269a7afada5882f89287cc0171c011465af7038fdf8639,ae3249218f6c4b94937998e0984668778145040809d49efa66850c31367f10c2,generated/stage_s/citeseer-seed42-r0.01.yaml
